Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.50      0.02     0.02   963392     0.00     0.00  std::abs(float)
 12.50      0.04     0.02   952565     0.00     0.00  jbutil::vector<jbutil::matrix<int>, 128ul>::operator()(int) const
 12.50      0.06     0.02    20379     0.00     0.00  float convolve<float>(jbutil::image<int> const&, float, float, int, float, jbutil::vector<float, 128ul> const&)
  9.38      0.07     0.01   922972     0.00     0.00  std::vector<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::operator[](unsigned long) const
  9.38      0.09     0.01   662110     0.00     0.00  int const& std::min<int>(int const&, int const&)
  9.38      0.10     0.01        1    15.00    15.00  std::vector<std::thread, std::allocator<std::thread> >::~vector()
  6.25      0.12     0.01  1894992     0.00     0.00  std::vector<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::size() const
  6.25      0.12     0.01   930143     0.00     0.00  jbutil::matrix<int>::operator()(int, int) const
  6.25      0.14     0.01   817664     0.00     0.00  jbutil::vector<jbutil::matrix<int>, 128ul>::operator()(int)
  6.25      0.14     0.01   639140     0.00     0.00  void std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::destroy<int>(jbutil::aligned_allocator<int, 128ul>&, int*)
  3.12      0.15     0.01   918412     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::operator[](unsigned long) const
  3.12      0.15     0.01   639140     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2})) std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::construct<int>(jbutil::aligned_allocator<int, 128ul>&, int*)
  3.12      0.16     0.01     1126     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::allocate(jbutil::aligned_allocator<int, 128ul>&, unsigned long)
  0.00      0.16     0.00  1891658     0.00     0.00  jbutil::vector<jbutil::matrix<int>, 128ul>::size() const
  0.00      0.16     0.00  1278280     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.00      0.16     0.00  1278280     0.00     0.00  int* std::__addressof<int>(int&)
  0.00      0.16     0.00  1028327     0.00     0.00  float lanczos<float>(jbutil::vector<float, 128ul> const&, float, int, int)
  0.00      0.16     0.00   976276     0.00     0.00  std::vector<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::operator[](unsigned long) const
  0.00      0.16     0.00   952441     0.00     0.00  std::vector<float, jbutil::aligned_allocator<float, 128ul> >::operator[](unsigned long) const
  0.00      0.16     0.00   823997     0.00     0.00  std::vector<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::operator[](unsigned long)
  0.00      0.16     0.00   821629     0.00     0.00  jbutil::matrix<int>::operator()(int, int)
  0.00      0.16     0.00   819427     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::operator[](unsigned long)
  0.00      0.16     0.00   816444     0.00     0.00  std::vector<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::operator[](unsigned long)
  0.00      0.16     0.00   640275     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.16     0.00   639140     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.16     0.00   639140     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int>(int*)
  0.00      0.16     0.00   639140     0.00     0.00  decltype (({parm#1}.destroy)({parm#2})) std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::_S_destroy<jbutil::aligned_allocator<int, 128ul>, int>(jbutil::aligned_allocator<int, 128ul>&, int*, int)
  0.00      0.16     0.00   639140     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::__construct_helper<int>::type>::value, void>::type std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::_S_construct<int>(jbutil::aligned_allocator<int, 128ul>&, int*)
  0.00      0.16     0.00   461046     0.00     0.00  jbutil::image<int>::operator()(int, int, int) const
  0.00      0.16     0.00    68508     0.00     0.00  jbutil::image<int>::channels() const
  0.00      0.16     0.00    59938     0.00     0.00  std::floor(float)
  0.00      0.16     0.00    59813     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.16     0.00    45905     0.00     0.00  std::ceil(float)
  0.00      0.16     0.00    36068     0.00     0.00  jbutil::matrix<int>::get_rows() const
  0.00      0.16     0.00    35202     0.00     0.00  jbutil::matrix<int>::get_cols() const
  0.00      0.16     0.00    30496     0.00     0.00  jbutil::image<int>::get_rows() const
  0.00      0.16     0.00    28053     0.00     0.00  jbutil::image<int>::get_cols() const
